keys,en
WEAPON_Comet_NAME,COMET
WEAPON_Comet_FANTASY,"Quick, steady shots. The gun every planet starts with."
WEAPON_Comet_TRADEOFF,No big weakness.
ACHIEVEMENT_SurviveFiveMinutes_NAME,LONG ORBIT
ACHIEVEMENT_SurviveFiveMinutes_DESC,Survive for 5 minutes.
ACHIEVEMENT_HundredKills_NAME,CENTURY
ACHIEVEMENT_HundredKills_DESC,Pop 100 enemies in one run.
ACHIEVEMENT_Streak25_NAME,UNBROKEN
ACHIEVEMENT_Streak25_DESC,Build a 25 combo.
ACHIEVEMENT_NoHitMinute_NAME,UNTOUCHED
ACHIEVEMENT_NoHitMinute_DESC,Go 60 seconds without getting hit.
ACHIEVEMENT_BeatCoil_NAME,THREAD THE GAP
ACHIEVEMENT_BeatCoil_DESC,Beat The Coil.
ACHIEVEMENT_BeatBrood_NAME,STEM THE TIDE
ACHIEVEMENT_BeatBrood_DESC,Beat The Brood.
ACHIEVEMENT_BeatBlackHole_NAME,ESCAPE VELOCITY
ACHIEVEMENT_BeatBlackHole_DESC,Beat The Black Hole.
ACHIEVEMENT_MaxMass_NAME,FULLY LOADED
ACHIEVEMENT_MaxMass_DESC,Max out every upgrade in one run.
ACHIEVEMENT_MinMassFinish_NAME,DEEP SPACE
ACHIEVEMENT_MinMassFinish_DESC,Survive for 10 minutes.
EVENT_SolarWind_NAME,SOLAR WIND
EVENT_SolarWind_EFFECT,A strong wind is pushing you and every enemy sideways.
EVENT_NoDash_NAME,THRUSTERS OUT
EVENT_NoDash_EFFECT,No dashing until this ends.
EVENT_GiantSlugs_NAME,HEAVY WEATHER
EVENT_GiantSlugs_EFFECT,New enemies are huge and slow.
EVENT_InvertedGravity_NAME,INVERSION
EVENT_InvertedGravity_EFFECT,Enemies are being pushed away from you.
WORLD_1_NAME,EMBERTIDE
WORLD_1_FLAVOUR,"The original. Warm, round and always smiling."
WORLD_1_HINT,Yours from the start.
WORLD_2_NAME,DRIFTLIGHT
WORLD_2_FLAVOUR,Minty green and very calm about all of this.
WORLD_2_HINT,Play 3 runs.
WORLD_3_NAME,PALEFROST
WORLD_3_FLAVOUR,So cold that even its rings are made of ice.
WORLD_3_HINT,Play 6 runs.
WORLD_4_NAME,CINDERBLOOM
WORLD_4_FLAVOUR,Every hit leaves a scorch mark. It wears them proudly.
WORLD_4_HINT,Pop 100 enemies in total.
WORLD_5_NAME,HOLLOWMERE
WORLD_5_FLAVOUR,"Quiet, deep and just a little bit spooky."
WORLD_5_HINT,Pop 300 enemies in total.
WORLD_6_NAME,DUSKWARDEN
WORLD_6_FLAVOUR,Takes guard duty very seriously. Nobody asked it to.
WORLD_6_HINT,"Score {0} in one run."
WORLD_7_NAME,VERDANT HALO
WORLD_7_FLAVOUR,Wears its leafy green ring like a crown.
WORLD_7_HINT,"Score {0} in one run."
WORLD_8_NAME,ASHEN COIL
WORLD_8_FLAVOUR,Beat The Coil enough times and you start to look like it.
WORLD_8_HINT,Survive for 3 minutes in one run.
WORLD_9_NAME,GLASSWAKE
WORLD_9_FLAVOUR,"Shiny, bright and much tougher than it looks."
WORLD_9_HINT,Survive for 5 minutes in one run.
WORLD_10_NAME,MOLTENCROWN
WORLD_10_FLAVOUR,Only for planets that have carried every upgrade at once.
WORLD_10_HINT,Max out every upgrade in one run.
WORLD_11_NAME,VOIDKIN
WORLD_11_FLAVOUR,Has been out here so long it calls empty space home.
WORLD_11_HINT,Play for 1 hour in total.
WORLD_12_NAME,STARFORGED
WORLD_12_FLAVOUR,Made from every planet that came before it.
WORLD_12_HINT,"Play {0} runs, and score {1} in one."
BOSS_Coil_ARRIVAL,Its rings have a gap. Slip through it or dash.
BOSS_Brood_ARRIVAL,It keeps making Shards. Keep shooting the big one.
BOSS_BlackHole_ARRIVAL,It pulls you in. Stay away from the middle.
DEATH_CAUSE_GravityWell,a gravity well
DEATH_CAUSE_Comet,a comet
DEATH_CAUSE_FlareBlast,a Flare explosion
DEATH_CAUSE_EnemyShot,an enemy shot
UI_NEW_WORLD,"NEW PLANET: {0}"
UI_NEW_ACHIEVEMENT,"ACHIEVEMENT: {0}"
UI_LEADERBOARD_RANK,"#{0} ON THE LEADERBOARD"
UI_NEW_BEST,NEW BEST SCORE!
UI_LONGEST_YET,YOUR LONGEST RUN YET!
UI_BEST_SCORE_LABEL,BEST: {0}
STATS_ORBITS,RUNS PLAYED
STATS_KILLS,ENEMIES POPPED
STATS_TIMEPLAYED,TIME PLAYED
STATS_HEAVIESTMASS,FULLEST BUILD
STATS_WORLDSUNLOCKED,PLANETS UNLOCKED
STATS_ACHIEVEMENTS,ACHIEVEMENTS
UI_MINUTES_SHORT,min
UPG_FireRate_NAME,FASTER SHOTS
UPG_Piercing_NAME,PIERCING SHOTS
UPG_BiggerNova_NAME,BIGGER NOVA
STATS_NAME,NAME
UI_NAME_PROMPT,YOU MADE THE BOARD! YOUR NAME:
STATS_WORLD,PLANET
